frame,x,y
210.0,497.0,348.0
211.0,497.0,374.0
212.0,497.0,376.0
213.0,494.0,378.0
214.0,494.0,376.0
215.0,495.0,374.0
216.0,492.0,374.0
217.0,489.0,373.0
218.0,488.0,356.0
219.0,487.0,371.0
220.0,487.0,373.0
221.0,488.0,374.0
222.0,489.0,373.0
223.0,489.0,381.0
224.0,489.0,374.0
225.0,488.0,374.0
226.0,487.0,375.0
227.0,488.0,374.0
228.0,486.0,378.0
229.0,487.0,374.0
230.0,487.0,365.0
231.0,487.0,366.0
232.0,487.0,372.0
233.0,483.0,373.0
234.0,482.0,376.0
235.0,480.0,378.0
236.0,477.0,382.0
237.0,475.0,384.0
238.0,474.0,390.0
239.0,472.0,394.0
240.0,470.0,396.0
241.0,470.0,398.0
242.0,470.0,397.0
243.0,471.0,397.0
244.0,467.0,390.0
245.0,465.0,390.0
246.0,463.0,396.0
247.0,458.0,399.0
248.0,452.0,400.0
249.0,448.0,401.0
250.0,448.0,394.0
251.0,448.0,387.0
252.0,450.0,400.0
253.0,450.0,385.0
254.0,452.0,388.0
255.0,455.0,400.0
256.0,457.0,400.0
257.0,457.0,401.0
258.0,456.0,400.0
259.0,456.0,400.0
260.0,455.0,399.0
261.0,442.0,399.0
262.0,441.0,400.0
263.0,442.0,399.0
264.0,446.0,399.0
265.0,454.0,398.0
266.0,456.0,396.0
267.0,456.0,393.0
268.0,453.0,392.0
269.0,457.0,393.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
274.0,453.0,389.0
275.0,453.0,391.0
276.0,449.0,395.0
277.0,452.0,391.0
278.0,452.0,398.0
279.0,452.0,398.0
280.0,451.0,398.0
281.0,452.0,391.0
282.0,453.0,396.0
283.0,452.0,398.0
284.0,447.0,398.0
285.0,451.0,398.0
286.0,449.0,397.0
287.0,448.0,394.0
288.0,447.0,394.0
289.0,447.0,394.0
290.0,448.0,393.0
291.0,447.0,393.0
292.0,447.0,378.0
293.0,450.0,392.0
294.0,446.0,393.0
295.0,444.0,393.0
296.0,443.0,397.0
297.0,440.0,394.0
298.0,438.0,395.0
299.0,435.0,397.0
300.0,434.0,397.0
301.0,435.0,397.0
302.0,438.0,398.0
303.0,436.0,397.0
304.0,433.0,400.0
305.0,430.0,402.0
306.0,425.0,404.0
307.0,420.0,408.0
308.0,415.0,411.0
309.0,411.0,411.0
310.0,408.0,413.0
311.0,407.0,411.0
312.0,404.0,410.0
313.0,407.0,411.0
314.0,407.0,412.0
315.0,412.0,414.0
316.0,410.0,416.0
317.0,405.0,417.0
318.0,404.0,417.0
319.0,404.0,412.0
320.0,405.0,413.0
321.0,408.0,414.0
322.0,412.0,418.0
323.0,417.0,418.0
324.0,417.0,418.0
325.0,416.0,418.0
326.0,419.0,415.0
327.0,420.0,413.0
328.0,421.0,412.0
329.0,421.0,412.0
330.0,423.0,405.0
331.0,427.0,406.0
332.0,434.0,411.0
333.0,434.0,412.0
334.0,435.0,411.0
335.0,435.0,413.0
336.0,428.0,411.0
337.0,422.0,410.0
338.0,421.0,411.0
339.0,421.0,411.0
340.0,434.0,408.0
341.0,434.0,408.0
342.0,437.0,405.0
343.0,440.0,410.0
344.0,440.0,410.0
345.0,440.0,408.0
346.0,440.0,406.0
347.0,443.0,404.0
348.0,439.0,406.0
349.0,439.0,406.0
350.0,434.0,404.0
351.0,436.0,408.0
352.0,435.0,411.0
353.0,435.0,409.0
354.0,434.0,410.0
355.0,434.0,410.0
356.0,433.0,411.0
357.0,432.0,412.0
358.0,432.0,410.0
359.0,431.0,409.0
360.0,430.0,410.0
361.0,428.0,407.0
362.0,428.0,408.0
363.0,428.0,408.0
364.0,431.0,397.0
365.0,430.0,396.0
366.0,432.0,398.0
367.0,431.0,399.0
0.0,0.0,0.0
369.0,432.0,410.0
370.0,432.0,411.0
371.0,433.0,393.0
372.0,437.0,412.0
373.0,436.0,419.0
374.0,433.0,420.0
375.0,434.0,418.0
376.0,429.0,410.0
377.0,433.0,417.0
378.0,433.0,418.0
379.0,435.0,418.0
380.0,437.0,416.0
381.0,442.0,415.0
382.0,446.0,418.0
383.0,448.0,418.0
384.0,448.0,418.0
385.0,446.0,417.0
386.0,447.0,416.0
387.0,442.0,414.0
388.0,443.0,418.0
389.0,443.0,415.0
390.0,442.0,411.0
391.0,442.0,406.0
392.0,444.0,406.0
393.0,445.0,408.0
394.0,444.0,407.0
395.0,440.0,407.0
396.0,435.0,410.0
397.0,429.0,408.0
398.0,421.0,404.0
399.0,415.0,402.0
400.0,411.0,402.0
401.0,406.0,401.0
402.0,405.0,411.0
403.0,407.0,402.0
404.0,409.0,401.0
405.0,409.0,402.0
406.0,408.0,404.0
407.0,405.0,406.0
408.0,400.0,409.0
409.0,398.0,410.0
410.0,395.0,413.0
411.0,394.0,412.0
412.0,393.0,412.0
413.0,389.0,415.0
414.0,387.0,417.0
415.0,388.0,418.0
416.0,386.0,418.0
417.0,386.0,418.0
418.0,386.0,417.0
419.0,387.0,399.0
420.0,385.0,399.0
421.0,385.0,416.0
422.0,381.0,418.0
423.0,378.0,419.0
424.0,375.0,422.0
425.0,373.0,426.0
426.0,375.0,428.0
427.0,374.0,429.0
428.0,373.0,406.0
429.0,373.0,407.0
430.0,375.0,407.0
431.0,376.0,407.0
432.0,377.0,407.0
433.0,376.0,415.0
434.0,377.0,411.0
435.0,373.0,418.0
436.0,369.0,419.0
437.0,373.0,428.0
438.0,381.0,411.0
439.0,390.0,430.0
440.0,388.0,429.0
441.0,384.0,413.0
442.0,374.0,428.0
443.0,360.0,427.0
444.0,361.0,427.0
445.0,366.0,427.0
446.0,374.0,426.0
447.0,377.0,425.0
448.0,378.0,424.0
449.0,381.0,416.0
450.0,380.0,415.0
451.0,381.0,416.0
452.0,379.0,413.0
453.0,378.0,411.0
454.0,377.0,409.0
455.0,375.0,423.0
456.0,373.0,423.0
457.0,374.0,424.0
458.0,371.0,425.0
459.0,373.0,425.0
460.0,373.0,422.0
461.0,375.0,421.0
462.0,378.0,419.0
463.0,381.0,416.0
464.0,384.0,413.0
465.0,390.0,410.0
466.0,396.0,411.0
467.0,399.0,413.0
468.0,403.0,417.0
469.0,404.0,418.0
470.0,400.0,418.0
471.0,400.0,413.0
472.0,401.0,415.0
473.0,403.0,416.0
474.0,407.0,418.0
475.0,411.0,422.0
476.0,414.0,426.0
477.0,418.0,429.0
478.0,421.0,429.0
479.0,424.0,430.0
480.0,428.0,430.0
481.0,429.0,431.0
482.0,428.0,430.0
483.0,428.0,431.0
484.0,429.0,434.0
485.0,427.0,432.0
486.0,429.0,431.0
487.0,432.0,438.0
488.0,437.0,434.0
489.0,442.0,436.0
