frame,x,y
209,497,376
210,497,376
211,497,376
212,497,376
213,494,378
214,494,376
215,495,374
216,492,374
217,489,373
218,488,373
219,488,373
220,487,373
221,488,374
222,489,373
223,489,373
224,488,374
225,488,374
226,487,375
227,488,374
228,486,378
229,487,374
230,487,370
231,487,366
232,487,372
233,483,373
234,482,376
235,480,378
236,477,382
237,475,384
238,474,389
239,472,394
240,470,396
241,470,398
242,470,397
243,471,397
244,468,394
245,465,390
246,462,394
247,458,399
248,453,400
249,448,401
250,449,398
251,450,396
252,450,393
253,451,391
254,452,388
255,454,394
256,457,400
257,457,401
258,456,400
259,456,400
260,455,399
261,448,400
262,441,400
263,442,399
264,446,399
265,451,398
266,456,396
267,456,393
268,453,392
269,457,393
270,456,393
271,456,392
272,455,392
273,454,392
274,454,391
275,453,391
276,449,395
277,452,391
278,452,394
279,452,398
280,451,398
281,452,397
282,453,396
283,452,398
284,447,398
285,451,398
286,449,397
287,448,394
288,447,394
289,447,394
290,448,393
291,447,393
292,447,393
293,446,393
294,446,393
295,444,393
296,443,397
297,440,394
298,438,395
299,435,397
300,434,397
301,435,397
302,438,398
303,436,397
304,433,400
305,430,402
306,425,404
307,420,408
308,415,411
309,411,411
310,408,413
311,407,411
312,404,410
313,407,411
314,407,412
315,412,414
316,410,416
317,405,417
318,404,417
319,404,412
320,405,413
321,408,414
322,412,418
323,417,418
324,417,418
325,416,418
326,419,415
327,420,413
328,421,412
329,421,412
330,424,409
331,427,406
332,430,409
333,434,412
334,435,411
335,435,413
336,430,412
337,426,412
338,421,411
339,421,411
340,428,410
341,434,408
342,437,405
343,440,410
344,440,410
345,440,408
346,440,406
347,443,404
348,439,406
349,439,406
350,434,404
351,436,408
352,435,411
353,435,409
354,434,410
355,434,410
356,433,411
357,432,412
358,432,410
359,431,409
360,430,410
361,428,407
362,428,408
363,428,408
364,429,402
365,430,396
366,432,398
367,431,399
368,431,403
369,432,407
370,432,411
371,432,413
372,432,416
373,433,418
374,433,420
375,434,418
376,434,418
377,433,418
378,433,418
379,435,418
380,437,416
381,442,415
382,446,418
383,448,418
384,448,418
385,446,417
386,447,416
387,442,414
388,443,418
389,443,415
390,442,411
391,442,406
392,444,406
393,445,408
394,444,407
395,440,407
396,435,410
397,429,408
398,423,406
399,417,404
400,411,402
401,406,401
402,407,401
403,408,401
404,409,401
405,409,402
406,408,404
407,405,406
408,400,409
409,398,410
410,395,413
411,394,412
412,393,412
413,389,415
414,387,417
415,388,418
416,386,418
417,386,418
418,386,417
419,386,408
420,385,399
421,383,408
422,381,418
423,378,419
424,375,422
425,373,426
426,375,428
427,374,429
428,374,418
429,373,407
430,375,407
431,376,407
432,377,407
433,377,409
434,377,411
435,373,415
436,369,419
437,374,422
438,378,424
439,383,426
440,388,429
441,381,428
442,374,428
443,368,428
444,361,427
445,366,427
446,372,426
447,377,425
448,378,424
449,379,420
450,380,415
451,381,416
452,379,413
453,378,411
454,377,409
455,375,416
456,373,423
457,374,424
458,371,425
459,373,425
460,373,422
461,375,421
462,378,419
463,381,416
464,384,413
465,389,413
466,394,413
467,399,413
468,403,417
469,404,418
470,400,418
471,400,413
472,401,415
473,403,416
474,407,418
475,411,422
476,414,426
477,418,429
478,421,429
479,424,430
480,428,430
481,429,431
482,428,430
483,428,431
484,429,434
485,427,432
486,429,431
487,433,433
488,438,434
489,442,436
490,450,436
491,459,435
492,467,435
493,472,435
494,477,435
495,481,434
496,486,434
497,491,434
498,498,435
499,504,435
500,511,436
501,517,437
502,524,438
503,531,438
504,537,439
505,544,440
506,550,440
507,557,441
508,558,445
509,561,445
510,562,440
511,565,438
512,570,440
513,576,443
514,578,444
515,580,443
516,584,443
517,586,445
518,587,447
519,587,448
520,589,448
521,591,446
522,593,443
523,594,443
524,596,448
525,596,442
NA,596,442
NA,596,442
NA,596,442
NA,596,442
NA,596,442
