frame,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4
210.0,293.0,127.0,561.0,133.0,163.0,382.0,687.0,380.0
211.0,292.0,125.0,557.0,123.0,161.0,382.0,688.0,381.0
212.0,295.0,122.0,557.0,119.0,162.0,383.0,685.0,381.0
213.0,292.0,126.0,555.0,124.0,161.0,383.0,686.0,381.0
214.0,294.0,125.0,556.0,123.0,162.0,383.0,687.0,381.0
215.0,295.0,121.0,557.0,123.0,162.0,382.0,688.0,381.0
216.0,296.0,119.0,557.0,117.0,162.0,382.0,686.0,381.0
217.0,293.0,123.0,559.0,126.0,161.0,382.0,687.0,381.0
218.0,295.0,120.0,557.0,119.0,161.0,383.0,686.0,381.0
219.0,290.0,125.0,557.0,123.0,164.0,382.0,688.0,380.0
220.0,290.0,125.0,557.0,123.0,164.0,381.0,688.0,380.0
221.0,295.0,121.0,553.0,120.0,160.0,386.0,686.0,378.0
222.0,290.0,125.0,554.0,119.0,165.0,381.0,687.0,380.0
223.0,292.0,126.0,559.0,124.0,161.0,383.0,688.0,380.0
224.0,291.0,126.0,557.0,122.0,161.0,382.0,689.0,380.0
225.0,293.0,121.0,561.0,128.0,160.0,383.0,685.0,381.0
226.0,294.0,124.0,558.0,121.0,162.0,383.0,685.0,381.0
227.0,290.0,122.0,556.0,120.0,161.0,383.0,686.0,380.0
228.0,290.0,132.0,564.0,139.0,162.0,383.0,688.0,381.0
229.0,292.0,128.0,557.0,123.0,163.0,382.0,688.0,380.0
230.0,297.0,120.0,553.0,117.0,163.0,383.0,687.0,381.0
231.0,293.0,122.0,555.0,129.0,161.0,382.0,687.0,380.0
232.0,296.0,120.0,556.0,122.0,162.0,383.0,688.0,381.0
233.0,295.0,123.0,555.0,121.0,163.0,382.0,687.0,381.0
234.0,291.0,127.0,555.0,119.0,161.0,382.0,687.0,379.0
235.0,292.0,127.0,555.0,123.0,165.0,383.0,686.0,381.0
236.0,294.0,124.0,556.0,123.0,163.0,382.0,686.0,379.0
237.0,294.0,124.0,550.0,123.0,163.0,381.0,682.0,380.0
238.0,294.0,122.0,557.0,120.0,162.0,382.0,685.0,381.0
239.0,296.0,121.0,555.0,122.0,162.0,383.0,686.0,380.0
240.0,291.0,128.0,557.0,125.0,161.0,382.0,687.0,381.0
241.0,293.0,122.0,559.0,120.0,161.0,382.0,687.0,380.0
242.0,295.0,122.0,557.0,120.0,162.0,382.0,687.0,380.0
243.0,292.0,126.0,553.0,115.0,161.0,383.0,688.0,381.0
244.0,295.0,123.0,558.0,124.0,163.0,382.0,682.0,379.0
245.0,289.0,128.0,557.0,126.0,165.0,381.0,686.0,380.0
