frame,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4
210,292,125,557,123,161,382,688,381
211,292,125,557,123,161,382,688,381
212,295,122,557,123,162,383,685,381
213,292,124,555,123,161,383,686,381
214,294,125,556,123,162,383,687,381
215,295,122,557,123,162,382,688,381
216,296,119,557,123,162,382,686,381
217,293,120,559,123,161,382,687,381
218,295,120,557,123,161,383,686,381
219,292,122,557,123,164,382,688,380
220,290,125,557,123,164,381,688,380
221,291,125,556,120,163,382,686,378
222,291,126,554,119,162,382,687,380
223,292,126,556,120,162,383,688,380
224,291,126,557,122,161,382,689,380
225,293,125,558,121,160,383,687,381
226,294,124,558,121,162,383,685,381
227,292,122,556,120,161,383,686,380
228,290,122,556,120,162,383,688,381
229,292,122,556,120,163,382,688,380
230,293,122,555,120,163,383,687,381
231,295,122,555,121,161,382,687,380
232,296,120,556,121,162,383,688,381
233,295,123,555,121,163,382,687,381
234,294,125,555,119,161,382,687,379
235,292,127,555,121,162,383,686,381
236,294,124,556,123,163,382,686,379
237,294,124,556,123,163,381,686,380
238,294,122,555,120,162,382,685,381
239,296,121,555,122,162,383,686,380
240,294,121,557,125,161,382,687,381
241,293,122,559,122,161,382,687,380
242,295,122,557,120,162,382,687,380
243,292,122,557,122,161,383,688,381
244,295,123,557,124,163,382,688,379
245,295,122,557,126,165,381,688,380
246,295,121,557,124,162,383,688,381
247,295,120,559,124,162,382,687,381
248,297,118,559,124,162,383,687,380
249,296,120,559,124,161,383,688,381
250,295,122,559,123,162,383,689,381
251,294,123,559,123,162,382,689,381
252,294,124,559,123,163,382,686,379
253,294,124,558,123,163,382,689,380
254,293,125,556,123,162,382,686,380
255,291,125,555,122,160,383,688,380
256,292,124,556,122,162,382,688,382
257,294,124,557,122,163,382,688,379
258,291,123,558,122,164,382,688,380
259,293,125,560,122,162,382,687,379
260,294,125,558,123,161,382,687,381
261,292,124,555,123,162,382,686,380
262,291,124,555,121,162,381,686,379
263,294,122,557,122,163,381,688,380
264,296,120,556,122,163,382,688,381
265,299,119,556,122,162,383,686,381
266,297,117,556,122,162,381,684,381
267,295,118,556,122,162,382,687,380
268,292,120,556,122,164,381,688,381
269,293,122,556,122,161,383,686,380
270,291,124,557,122,164,382,683,379
271,292,125,556,123,163,383,685,381
272,293,125,556,123,162,382,687,380
273,293,124,554,123,162,382,685,380
274,290,127,554,124,165,383,688,380
275,292,127,555,121,162,382,687,379
276,293,127,556,121,164,383,685,380
277,294,127,553,120,162,382,684,380
278,296,127,554,120,160,383,687,380
279,294,127,557,120,162,382,687,381
280,292,126,557,120,165,383,687,380
281,292,126,556,119,164,383,686,379
282,295,126,556,119,162,382,686,379
283,292,125,556,119,161,383,687,381
284,295,124,554,118,162,382,687,381
285,294,124,554,118,163,381,688,381
286,291,125,553,116,161,381,687,380
287,293,122,554,120,163,382,686,380
288,295,122,556,123,162,383,688,381
289,293,125,558,124,162,382,689,381
290,292,126,559,122,161,383,688,381
291,292,124,558,120,164,381,686,381
292,295,121,558,123,162,383,688,381
293,292,121,557,123,161,382,687,379
294,295,122,554,123,161,383,687,380
295,295,122,554,122,162,382,686,381
296,295,123,555,122,162,382,686,380
297,295,123,555,122,161,383,687,381
298,293,124,557,122,161,384,687,381
299,293,124,559,122,162,381,686,381
300,292,125,559,122,165,383,685,380
301,295,121,558,121,163,381,686,380
302,298,117,556,121,163,381,687,380
303,295,121,555,121,165,382,686,382
304,292,125,552,122,163,383,686,381
305,293,124,554,122,161,383,685,380
306,294,125,556,123,163,382,687,381
307,292,126,557,122,161,383,686,380
308,292,126,555,122,163,382,684,380
309,293,126,557,122,162,382,686,380
310,293,126,557,122,163,382,684,379
311,292,127,556,121,165,382,686,380
312,292,128,556,121,163,382,685,379
313,291,127,553,121,161,383,686,380
314,294,125,555,121,162,382,687,380
315,291,123,558,121,163,383,684,380
316,293,126,558,121,162,382,686,381
317,293,124,559,122,161,383,688,381
318,291,123,559,122,164,382,688,381
319,292,120,557,122,161,383,687,381
320,294,123,555,122,162,382,687,380
321,294,123,554,120,162,382,686,380
322,294,126,556,122,163,383,689,380
323,291,123,558,124,164,381,688,380
324,289,126,557,124,164,382,687,380
325,291,123,555,124,162,382,686,380
326,293,125,555,123,162,382,685,379
327,294,125,554,125,162,383,687,380
328,292,128,556,128,164,383,684,380
329,289,132,559,130,162,381,686,380
330,291,130,559,128,162,382,689,381
331,292,128,558,125,160,382,688,380
332,293,127,558,125,161,383,687,381
333,295,127,558,124,161,383,687,381
334,296,126,558,124,162,381,687,379
335,298,125,558,123,161,383,687,380
336,297,124,559,123,162,382,687,380
337,296,124,559,122,163,383,687,381
338,294,123,558,121,162,384,687,381
339,293,124,557,120,162,381,687,380
340,290,126,556,121,164,384,687,382
341,293,128,555,122,164,382,687,381
342,296,127,555,119,162,384,689,381
343,294,126,556,121,162,381,688,380
344,293,125,556,123,161,382,688,383
345,296,124,556,122,161,383,687,380
346,294,122,557,121,162,382,686,381
347,295,121,557,120,160,385,686,378
348,292,121,557,123,159,388,685,375
349,294,122,557,123,157,392,686,375
350,295,122,557,123,156,395,684,376
351,293,125,557,123,154,398,682,376
352,292,126,555,124,158,391,685,378
353,294,123,552,120,161,384,686,381
354,295,122,554,116,162,383,686,381
355,292,123,556,117,164,383,689,381
356,293,124,553,118,161,383,686,381
357,293,124,553,119,159,386,683,379
358,295,121,552,120,161,383,686,382
359,296,121,552,117,163,382,687,381
360,293,124,551,117,162,382,685,380
361,293,127,556,119,163,382,683,379
362,292,127,561,121,162,382,684,381
363,293,125,560,123,162,382,686,380
364,292,126,560,125,162,382,685,380
365,295,123,558,122,163,383,685,381
366,293,125,555,119,162,382,683,380
367,296,125,552,117,162,383,686,380
368,294,124,553,118,161,382,688,380
369,293,124,554,119,162,382,687,380
370,290,127,555,120,164,382,688,381
371,292,126,557,122,163,382,686,380
372,293,126,557,124,162,382,688,381
373,290,125,555,123,163,384,687,381
374,291,127,555,123,165,384,685,382
375,293,127,555,123,165,383,687,380
376,293,126,554,122,163,383,687,381
377,290,126,554,122,164,382,686,380
378,291,123,554,122,165,381,684,378
379,293,125,555,121,162,382,687,380
380,294,125,552,121,162,382,687,380
381,295,126,554,121,163,382,686,381
382,294,126,555,120,163,381,686,379
383,294,127,556,120,163,381,687,379
384,292,127,555,120,162,382,688,381
385,293,125,557,120,162,382,687,379
386,295,125,556,121,162,382,687,379
387,293,125,556,122,163,382,688,379
388,291,125,555,122,160,383,688,381
389,293,125,555,122,161,384,685,381
390,295,125,552,123,161,383,685,381
391,294,125,555,124,162,383,685,381
392,293,125,558,124,162,382,688,379
393,293,124,561,123,164,382,686,380
394,293,124,560,121,162,382,684,380
395,293,123,558,120,161,382,686,381
396,290,126,556,123,164,382,686,380
397,292,125,556,122,162,382,688,381
398,293,124,558,122,161,383,685,380
399,293,125,556,122,162,382,686,381
400,295,124,553,122,162,383,688,381
401,295,123,553,122,162,382,689,381
402,295,122,554,122,163,382,691,381
403,295,121,554,122,162,381,692,379
404,295,123,555,121,163,382,690,380
405,295,123,555,120,161,382,688,380
406,292,124,556,120,161,383,686,381
407,290,124,556,119,162,382,684,381
408,292,124,556,119,162,382,686,380
409,293,124,557,118,162,383,688,381
410,295,124,557,118,165,383,685,381
411,293,125,557,120,162,382,688,380
412,293,125,557,121,160,382,688,377
413,292,124,557,122,161,383,687,380
414,292,126,557,124,161,383,688,381
415,291,123,557,122,164,382,688,379
416,292,126,558,125,162,382,685,379
417,290,129,558,128,161,382,686,380
418,293,126,561,125,163,382,687,381
419,295,124,559,124,163,382,686,380
420,295,122,558,124,162,382,683,379
421,293,124,557,124,164,382,684,380
422,291,126,556,123,161,382,686,379
423,291,124,553,120,162,382,686,380
424,294,123,555,121,162,382,687,380
425,292,126,554,124,161,381,684,379
426,289,129,557,127,162,383,686,380
427,290,127,556,126,162,382,688,380
428,292,125,553,126,162,382,687,380
429,294,123,554,126,163,383,685,381
430,295,121,554,125,162,382,683,381
431,293,124,556,124,161,383,686,380
432,295,121,556,124,162,382,686,380
433,295,122,556,123,162,382,688,380
434,294,122,555,121,161,383,686,380
435,294,123,555,120,163,382,688,380
436,294,124,555,124,162,382,687,381
437,293,125,555,129,161,384,687,382
438,291,128,555,126,162,382,687,380
439,293,125,556,122,162,382,687,380
440,292,126,555,120,161,383,688,381
441,292,123,557,120,162,382,686,379
442,295,120,557,121,162,382,685,379
443,292,123,558,121,162,382,687,380
444,293,126,558,122,163,382,686,380
445,292,125,558,122,163,382,686,380
446,291,124,559,121,165,381,686,380
447,290,124,559,121,166,381,688,379
448,291,123,557,120,163,383,687,381
449,292,122,555,120,163,383,688,381
450,293,122,556,120,162,382,686,381
451,294,121,557,120,164,382,684,379
452,295,120,558,119,164,383,684,380
453,296,120,556,119,162,382,687,380
454,293,124,554,123,162,382,685,380
455,296,128,558,128,160,385,686,383
456,293,126,562,132,162,382,688,380
457,291,124,558,127,160,381,687,381
458,293,124,553,122,162,381,689,380
459,293,123,555,122,161,383,687,381
460,292,123,556,122,163,383,687,380
461,295,123,556,121,162,382,685,380
462,294,123,557,121,164,383,685,381
463,294,121,555,119,161,382,686,381
464,294,122,554,121,161,381,686,380
465,293,124,554,122,161,382,685,382
466,293,124,554,122,161,383,686,381
467,293,125,554,122,163,382,688,380
468,292,125,554,123,165,382,688,381
469,292,126,555,124,164,382,686,381
470,291,126,555,124,164,382,685,380
471,293,127,557,123,163,382,686,380
472,294,127,558,123,161,382,686,381
473,292,128,560,122,162,383,687,381
474,291,128,562,121,162,381,685,380
475,291,126,560,121,165,382,688,380
476,293,124,558,120,164,383,685,380
477,290,125,556,123,164,381,685,379
478,292,126,555,123,164,383,686,381
479,289,125,555,123,163,382,686,379
480,291,125,556,123,163,382,685,376
481,293,124,556,123,163,382,686,378
482,296,121,554,120,163,382,686,379
483,293,124,556,121,162,381,688,380
484,293,125,556,121,161,384,685,382
485,293,128,555,121,164,382,687,379
486,294,129,555,121,161,381,685,379
487,294,126,554,121,161,383,687,381
488,294,123,554,121,162,382,686,381
489,292,126,555,122,162,382,686,381
490,292,125,556,123,161,383,688,381
491,294,125,557,126,161,383,686,380
492,294,124,557,126,160,383,686,383
493,293,124,558,125,160,386,689,384
494,293,124,558,124,161,384,688,382
495,292,126,555,124,160,385,686,382
496,292,126,557,124,162,382,687,379
497,291,125,558,123,164,383,684,380
498,291,125,558,122,163,381,686,381
499,290,124,559,121,163,383,685,380
500,292,121,556,120,165,382,684,381
501,290,122,558,120,165,383,685,381
502,292,123,557,120,163,383,686,381
503,293,124,557,120,161,383,689,381
504,291,126,556,120,162,383,689,381
505,293,125,556,123,163,383,687,381
506,294,122,555,120,164,382,687,380
507,292,123,556,124,162,381,686,379
508,294,124,559,127,163,382,687,380
509,295,124,558,125,161,383,684,380
510,295,123,556,123,161,383,686,380
511,295,122,555,121,162,382,686,379
512,295,122,553,119,162,382,686,381
513,295,121,552,120,162,382,684,380
514,294,124,554,122,163,383,687,380
515,293,125,555,123,162,382,686,380
516,293,123,555,125,161,382,686,381
517,293,123,555,122,162,385,688,382
518,295,122,555,123,163,384,686,380
519,294,124,557,125,162,382,687,381
520,293,126,555,123,159,383,687,382
521,291,128,556,126,161,384,686,381
522,291,128,557,125,164,385,688,381
523,293,127,557,125,163,383,688,381
524,293,126,558,124,163,382,687,379
525,294,123,555,122,162,382,687,381
