frame,x,y
0.0,0.0,0.0
0.0,0.0,0.0
212.0,338.0,118.0
0.0,0.0,0.0
214.0,339.0,120.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
228.0,339.0,121.0
0.0,0.0,0.0
0.0,0.0,0.0
231.0,342.0,121.0
232.0,348.0,119.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
239.0,339.0,122.0
0.0,0.0,0.0
241.0,341.0,122.0
242.0,341.0,122.0
243.0,342.0,122.0
244.0,344.0,118.0
245.0,345.0,119.0
246.0,346.0,121.0
247.0,347.0,122.0
248.0,346.0,122.0
249.0,348.0,128.0
250.0,345.0,122.0
251.0,347.0,122.0
252.0,351.0,122.0
253.0,354.0,122.0
254.0,357.0,128.0
255.0,360.0,122.0
256.0,363.0,122.0
257.0,366.0,122.0
258.0,369.0,121.0
259.0,372.0,122.0
260.0,373.0,122.0
261.0,373.0,122.0
262.0,372.0,122.0
263.0,374.0,122.0
264.0,377.0,122.0
265.0,379.0,122.0
266.0,382.0,122.0
267.0,386.0,120.0
268.0,388.0,120.0
269.0,391.0,119.0
270.0,394.0,120.0
271.0,396.0,118.0
272.0,399.0,118.0
273.0,398.0,119.0
274.0,399.0,119.0
275.0,398.0,118.0
276.0,400.0,119.0
277.0,402.0,119.0
278.0,406.0,118.0
279.0,409.0,121.0
280.0,413.0,118.0
281.0,416.0,118.0
282.0,419.0,118.0
283.0,423.0,119.0
284.0,426.0,120.0
285.0,430.0,118.0
286.0,433.0,118.0
287.0,438.0,119.0
288.0,443.0,120.0
289.0,443.0,119.0
290.0,444.0,119.0
291.0,445.0,118.0
292.0,450.0,119.0
293.0,456.0,119.0
0.0,0.0,0.0
0.0,0.0,0.0
296.0,463.0,116.0
297.0,464.0,119.0
298.0,466.0,122.0
299.0,466.0,119.0
300.0,467.0,118.0
301.0,468.0,118.0
302.0,477.0,118.0
303.0,478.0,117.0
304.0,479.0,116.0
305.0,478.0,115.0
306.0,479.0,116.0
307.0,480.0,114.0
308.0,480.0,116.0
309.0,483.0,121.0
310.0,484.0,126.0
311.0,483.0,115.0
312.0,484.0,114.0
313.0,484.0,114.0
0.0,0.0,0.0
0.0,0.0,0.0
316.0,486.0,113.0
317.0,488.0,114.0
318.0,487.0,114.0
319.0,488.0,114.0
320.0,488.0,114.0
321.0,486.0,114.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
333.0,470.0,113.0
334.0,470.0,113.0
335.0,471.0,113.0
336.0,470.0,113.0
337.0,469.0,114.0
338.0,466.0,113.0
339.0,465.0,115.0
340.0,462.0,113.0
341.0,458.0,113.0
342.0,456.0,113.0
343.0,453.0,113.0
344.0,451.0,113.0
345.0,449.0,113.0
346.0,448.0,114.0
0.0,0.0,0.0
348.0,447.0,112.0
349.0,448.0,114.0
350.0,447.0,114.0
351.0,445.0,113.0
352.0,443.0,113.0
353.0,439.0,113.0
354.0,435.0,113.0
355.0,431.0,113.0
356.0,426.0,114.0
357.0,423.0,112.0
358.0,422.0,114.0
359.0,419.0,114.0
360.0,417.0,114.0
361.0,414.0,114.0
362.0,413.0,115.0
363.0,407.0,113.0
364.0,404.0,113.0
365.0,400.0,113.0
366.0,400.0,113.0
367.0,398.0,114.0
368.0,393.0,114.0
369.0,390.0,114.0
370.0,386.0,114.0
371.0,384.0,114.0
372.0,381.0,114.0
373.0,375.0,115.0
374.0,364.0,114.0
375.0,361.0,114.0
376.0,363.0,114.0
377.0,356.0,113.0
378.0,356.0,114.0
379.0,354.0,115.0
380.0,353.0,114.0
381.0,352.0,113.0
382.0,350.0,112.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
388.0,338.0,114.0
389.0,336.0,112.0
390.0,336.0,111.0
391.0,336.0,113.0
392.0,328.0,112.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
398.0,331.0,109.0
399.0,332.0,110.0
400.0,329.0,114.0
401.0,330.0,114.0
402.0,329.0,113.0
403.0,336.0,111.0
404.0,339.0,111.0
0.0,0.0,0.0
406.0,339.0,111.0
407.0,341.0,111.0
408.0,341.0,111.0
409.0,345.0,111.0
410.0,345.0,108.0
411.0,345.0,109.0
412.0,347.0,109.0
413.0,349.0,110.0
414.0,351.0,109.0
415.0,354.0,109.0
416.0,354.0,110.0
417.0,357.0,110.0
418.0,359.0,110.0
419.0,361.0,109.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
423.0,370.0,108.0
424.0,372.0,108.0
425.0,375.0,108.0
426.0,377.0,107.0
427.0,377.0,108.0
428.0,377.0,108.0
429.0,376.0,110.0
430.0,378.0,109.0
431.0,380.0,109.0
432.0,382.0,109.0
433.0,384.0,108.0
434.0,386.0,110.0
435.0,387.0,108.0
436.0,389.0,108.0
437.0,391.0,109.0
438.0,393.0,109.0
439.0,395.0,109.0
0.0,0.0,0.0
0.0,0.0,0.0
442.0,396.0,110.0
443.0,396.0,110.0
444.0,402.0,109.0
445.0,402.0,109.0
446.0,400.0,108.0
447.0,406.0,108.0
448.0,408.0,108.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
455.0,405.0,107.0
456.0,404.0,107.0
457.0,403.0,107.0
458.0,401.0,107.0
459.0,398.0,107.0
460.0,394.0,107.0
461.0,392.0,110.0
462.0,391.0,110.0
463.0,391.0,109.0
464.0,389.0,108.0
0.0,0.0,0.0
466.0,387.0,110.0
467.0,385.0,108.0
468.0,382.0,109.0
469.0,379.0,109.0
470.0,378.0,110.0
471.0,377.0,109.0
472.0,377.0,109.0
473.0,374.0,108.0
474.0,367.0,108.0
475.0,366.0,109.0
476.0,365.0,108.0
477.0,368.0,108.0
478.0,367.0,107.0
479.0,367.0,110.0
480.0,369.0,109.0
481.0,361.0,110.0
482.0,360.0,109.0
483.0,360.0,109.0
484.0,360.0,109.0
485.0,362.0,108.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
490.0,359.0,109.0
491.0,359.0,109.0
492.0,360.0,110.0
493.0,361.0,110.0
494.0,362.0,110.0
495.0,363.0,110.0
0.0,0.0,0.0
497.0,366.0,110.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
