,x1,y1,x2,y2
0,0,0,0,0
0,401,51,526,51
0,692,66,847,72
0,571,59,598,59
0,434,28,469,28
0,181,183,239,183
0,430,224,528,224
0,419,44,455,44
0,278,4,300,4
0,677,49,814,49
0,6,56,168,56
0,202,23,281,21
0,45,48,106,47
0,824,60,853,62
0,376,407,441,406
0,671,57,810,57
0,770,10,827,9
0,157,10,258,14
0,16,40,167,43
0,745,54,853,52
0,289,3,332,3
0,542,16,676,16
0,3,33,89,30
0,687,7,747,7
0,4,59,103,59
0,468,59,558,60
0,406,13,511,17
0,431,60,518,61
0,156,21,225,22
0,330,19,472,24
0,673,23,802,26
0,320,52,348,52
0,480,183,535,182
0,413,222,469,222
0,770,38,830,41
0,203,51,227,52
0,156,12,219,13
0,558,27,700,27
0,91,400,212,115
0,131,50,187,49
0,219,60,332,59
0,682,8,747,8
0,684,53,743,56
0,470,43,530,48
0,278,157,408,157
0,778,34,853,33
0,619,35,744,37
0,33,20,91,20
0,186,21,219,20
0,299,14,393,12
0,406,17,439,16
0,482,307,582,307
0,552,402,592,402
0,528,12,754,16
0,329,4,434,4
0,364,189,392,189
0,359,57,384,60
0,630,33,746,35
0,280,309,309,309
0,235,28,300,30
0,541,21,631,20
0,826,35,853,35
0,24,0,74,4
0,52,53,111,52
0,797,159,850,159
0,713,112,852,112
0,197,411,375,408
0,185,17,258,17
0,536,181,596,180
0,247,46,286,45
0,380,44,401,44
0,534,45,639,57
0,527,10,661,5
0,617,30,647,28
0,473,404,656,404
0,644,306,685,406
0,210,186,363,188
0,615,43,740,43
0,523,113,613,406
0,690,23,784,17
0,460,114,568,114
0,702,79,853,90
0,527,9,696,12
0,3,12,84,26
0,692,18,742,15
0,0,35,91,36
0,538,2,661,2
0,469,35,512,36
0,4,6,92,17
0,421,40,454,40
0,563,57,613,58
0,1,53,79,48
0,590,194,650,196
0,613,46,853,84
0,726,108,825,106
0,798,151,853,150
0,329,41,364,41
0,128,36,161,38
0,405,188,596,182
0,658,39,811,42
0,266,159,403,159
0,379,58,418,57
0,800,219,853,219
0,585,220,655,222
0,723,105,822,103
0,183,42,220,45
0,46,33,67,35
0,354,8,393,9
0,567,113,637,285
0,160,243,214,114
0,700,76,839,84
0,181,362,218,244
0,114,37,167,42
0,41,63,110,60
0,689,50,730,53
